"pair","mean","min","max"
"CO2pc-LifeExp",-0.00731262493095609,-0.00760710228953206,-0.00639773818656987
"Energy-U5Mort",-0.00499770906449754,-0.00609491028244104,-0.00362501730512177
"Renewables-AgriVA",0.0361843303472816,0.0335425684212734,0.0394528572222071
